service_date,Commuter Rail,Bus (Bus),Bus (Silver Line),The RIDE,Rail (Red),Rail (Green),Rail (Blue),Rail (Orange),Ferry (Boat-F1)
2016-01-01T05:00:00.000Z,134653,367659,35251,5987,249403,177158,60150,216361,2975
2016-02-01T05:00:00.000Z,124534,373451,36513,5664,256602,187614,61032,218983,2790
2016-03-01T05:00:00.000Z,134126,377364,39203,5976,262916,190773,65657,222688,2954
2016-04-01T04:00:00.000Z,130110,389485,40682,5965,265394,201127,71996,222891,3125
2016-05-01T04:00:00.000Z,120768,385380,37298,6079,264123,187313,72289,220411,3295
2016-06-01T04:00:00.000Z,141473,391186,38430,7251,267339,188367,75494,220941,3692
2016-07-01T04:00:00.000Z,134236,355270,37246,6814,263510,186073,75481,211655,3714
2016-08-01T04:00:00.000Z,131070,350093,35798,6805,251071,174083,72455,204021,3685
2016-09-01T04:00:00.000Z,128661,389847,34481,7158,271556,194120,75057,223924,3236
2016-10-01T04:00:00.000Z,135485,383841,35759,7054,269394,191864,73817,221484,3318
2016-11-01T04:00:00.000Z,125491,370154,34173,7038,257773,182463,70776,214181,3182
2016-12-01T05:00:00.000Z,124198,339011,31723,6923,235471,166552,66660,197389,2790
2017-01-01T05:00:00.000Z,126517,342871,33430,6993,246768,168437,66660,207661,3019
2017-02-01T05:00:00.000Z,124570,332679,31756,6454,247200,175539,65977,204586,2431
2017-03-01T05:00:00.000Z,119236,340133,33488,6869,250023,174357,67045,205908,2894
2017-04-01T04:00:00.000Z,121911,345586,34089,7053,263664,190313,72875,215577,3068
2017-05-01T04:00:00.000Z,121585,361149,35346,7008,261847,175227,72612,213569,3942
2017-06-01T04:00:00.000Z,126323,353051,34820,6737,262444,179911,76628,214284,2174
2017-07-01T04:00:00.000Z,134934,329950,36217,6418,258456,172232,75683,205060,3536
2017-08-01T04:00:00.000Z,124655,326885,34292,6495,251572,164419,74686,201052,3586
2017-09-01T04:00:00.000Z,126314,370020,33190,6634,270487,189457,77762,222375,3470
2017-10-01T04:00:00.000Z,125295,365912,33987,6631,268118,180739,76656,221488,3450
2017-11-01T04:00:00.000Z,123523,351272,32833,6583,256701,174679,72503,211915,3232
2017-12-01T05:00:00.000Z,120568,321301,30618,6311,227430,155123,66596,191613,2774
2018-01-01T05:00:00.000Z,118585,325752,30247,5970,223623,149578,63010,189872,1691
2018-02-01T05:00:00.000Z,120498,346293,31508,6563,242837,168150,69542,207264,2854
2018-03-01T05:00:00.000Z,116214,325583,31306,5830,227884,154557,65413,191833,2677
2018-04-01T04:00:00.000Z,120507,343309,35484,6607,253140,176925,73725,212527,3013
2018-05-01T04:00:00.000Z,121933,357394,37150,6678,257043,170223,77107,214680,3409
2018-06-01T04:00:00.000Z,122911,346410,37376,6507,255260,169237,78196,213177,3627
2018-07-01T04:00:00.000Z,120976,336076,37585,6168,243385,171156,75613,200126,3734
2018-08-01T04:00:00.000Z,120920,334528,37371,6120,235268,161172,71985,193508,3618
2018-09-01T04:00:00.000Z,120853,371768,37043,6304,255740,187452,75471,212814,3618
2018-10-01T04:00:00.000Z,121770,371970,38258,6268,258927,189116,76021,216548,3574
2018-11-01T04:00:00.000Z,121301,352146,38024,6041,241875,172224,70529,203333,3273
2018-12-01T05:00:00.000Z,121247,321116,32967,5910,213515,152132,64576,181513,2829
2019-01-01T05:00:00.000Z,120964,338246,34697,6054,227426,158195,66229,192852,3151
2019-02-01T05:00:00.000Z,121856,344337,34478,5985,240552,168663,67954,198944,3089
2019-03-01T05:00:00.000Z,121569,350354,37461,6057,238971,165682,68351,199171,3147
2019-04-01T04:00:00.000Z,120505,349541,37412,6065,245082,173634,72705,205790,3241
2019-05-01T04:00:00.000Z,115277,358400,38654,6209,246479,164762,74150,207374,3432
2019-06-01T04:00:00.000Z,121471,348514,38281,6072,237862,165275,77068,208337,4143
2019-07-01T04:00:00.000Z,119130,338220,37509,5780,228236,156253,75048,197854,4188
2019-08-01T04:00:00.000Z,120281,333577,37446,5741,221823,146951,73462,192688,4087
2019-09-01T04:00:00.000Z,120824,373971,36944,6060,245788,158952,76423,215557,4183
2019-10-01T00:00:00.000Z,121404,379904,38094,6002,244349,156605,69071,207620,3809