date,value,mode
2016-01-01T05:00:00.000Z,2827718,Commuter Rail
2016-01-01T05:00:00.000Z,6985521,Bus (Bus)
2016-01-01T05:00:00.000Z,669761,Bus (Silver Line)
2016-01-01T05:00:00.000Z,113748,The RIDE
2016-01-01T05:00:00.000Z,4738658,Rail (Red)
2016-01-01T05:00:00.000Z,3366005,Rail (Green)
2016-01-01T05:00:00.000Z,1142850,Rail (Blue)
2016-01-01T05:00:00.000Z,4110859,Rail (Orange)
2016-01-01T05:00:00.000Z,59503,Ferry (Boat-F1)
2016-02-01T05:00:00.000Z,2615220,Commuter Rail
2016-02-01T05:00:00.000Z,7469019,Bus (Bus)
2016-02-01T05:00:00.000Z,730265,Bus (Silver Line)
2016-02-01T05:00:00.000Z,113282,The RIDE
2016-02-01T05:00:00.000Z,5132032,Rail (Red)
2016-02-01T05:00:00.000Z,3752289,Rail (Green)
2016-02-01T05:00:00.000Z,1220639,Rail (Blue)
2016-02-01T05:00:00.000Z,4379649,Rail (Orange)
2016-02-01T05:00:00.000Z,58596,Ferry (Boat-F1)
2016-03-01T05:00:00.000Z,3084894,Commuter Rail
2016-03-01T05:00:00.000Z,8679363,Bus (Bus)
2016-03-01T05:00:00.000Z,901662,Bus (Silver Line)
2016-03-01T05:00:00.000Z,137440,The RIDE
2016-03-01T05:00:00.000Z,6047058,Rail (Red)
2016-03-01T05:00:00.000Z,4387768,Rail (Green)
2016-03-01T05:00:00.000Z,1510118,Rail (Blue)
2016-03-01T05:00:00.000Z,5121816,Rail (Orange)
2016-03-01T05:00:00.000Z,67941,Ferry (Boat-F1)
2016-04-01T04:00:00.000Z,2732306,Commuter Rail
2016-04-01T04:00:00.000Z,6231752,Bus (Bus)
2016-04-01T04:00:00.000Z,650905,Bus (Silver Line)
2016-04-01T04:00:00.000Z,125259,The RIDE
2016-04-01T04:00:00.000Z,5573282,Rail (Red)
2016-04-01T04:00:00.000Z,4223658,Rail (Green)
2016-04-01T04:00:00.000Z,1511915,Rail (Blue)
2016-04-01T04:00:00.000Z,4680719,Rail (Orange)
2016-04-01T04:00:00.000Z,65615,Ferry (Boat-F1)
2016-05-01T04:00:00.000Z,2656887,Commuter Rail
2016-05-01T04:00:00.000Z,8092982,Bus (Bus)
2016-05-01T04:00:00.000Z,783259,Bus (Silver Line)
2016-05-01T04:00:00.000Z,127655,The RIDE
2016-05-01T04:00:00.000Z,5546573,Rail (Red)
2016-05-01T04:00:00.000Z,3933571,Rail (Green)
2016-05-01T04:00:00.000Z,1518063,Rail (Blue)
2016-05-01T04:00:00.000Z,4628636,Rail (Orange)
2016-05-01T04:00:00.000Z,69197,Ferry (Boat-F1)
2016-06-01T04:00:00.000Z,3112409,Commuter Rail
2016-06-01T04:00:00.000Z,8606097,Bus (Bus)
2016-06-01T04:00:00.000Z,845464,Bus (Silver Line)
2016-06-01T04:00:00.000Z,159519,The RIDE
2016-06-01T04:00:00.000Z,5881456,Rail (Red)
2016-06-01T04:00:00.000Z,4144063,Rail (Green)
2016-06-01T04:00:00.000Z,1660877,Rail (Blue)
2016-06-01T04:00:00.000Z,4860703,Rail (Orange)
2016-06-01T04:00:00.000Z,81229,Ferry (Boat-F1)
2016-07-01T04:00:00.000Z,2818964,Commuter Rail
2016-07-01T04:00:00.000Z,7105389,Bus (Bus)
2016-07-01T04:00:00.000Z,744914,Bus (Silver Line)
2016-07-01T04:00:00.000Z,136282,The RIDE
2016-07-01T04:00:00.000Z,5270208,Rail (Red)
2016-07-01T04:00:00.000Z,3721468,Rail (Green)
2016-07-01T04:00:00.000Z,1509610,Rail (Blue)
2016-07-01T04:00:00.000Z,4233095,Rail (Orange)
2016-07-01T04:00:00.000Z,74280,Ferry (Boat-F1)
2016-08-01T04:00:00.000Z,3014604,Commuter Rail
2016-08-01T04:00:00.000Z,8052127,Bus (Bus)
2016-08-01T04:00:00.000Z,823347,Bus (Silver Line)
2016-08-01T04:00:00.000Z,156522,The RIDE
2016-08-01T04:00:00.000Z,5774632,Rail (Red)
2016-08-01T04:00:00.000Z,4003897,Rail (Green)
2016-08-01T04:00:00.000Z,1666468,Rail (Blue)
2016-08-01T04:00:00.000Z,4692482,Rail (Orange)
2016-08-01T04:00:00.000Z,84757,Ferry (Boat-F1)
2016-09-01T04:00:00.000Z,2830550,Commuter Rail
2016-09-01T04:00:00.000Z,8186778,Bus (Bus)
2016-09-01T04:00:00.000Z,724110,Bus (Silver Line)
2016-09-01T04:00:00.000Z,150322,The RIDE
2016-09-01T04:00:00.000Z,5702668,Rail (Red)
2016-09-01T04:00:00.000Z,4076521,Rail (Green)
2016-09-01T04:00:00.000Z,1576201,Rail (Blue)
2016-09-01T04:00:00.000Z,4702395,Rail (Orange)
2016-09-01T04:00:00.000Z,71201,Ferry (Boat-F1)
2016-10-01T04:00:00.000Z,2845193,Commuter Rail
2016-10-01T04:00:00.000Z,7676816,Bus (Bus)
2016-10-01T04:00:00.000Z,715177,Bus (Silver Line)
2016-10-01T04:00:00.000Z,148136,The RIDE
2016-10-01T04:00:00.000Z,5657271,Rail (Red)
2016-10-01T04:00:00.000Z,4029136,Rail (Green)
2016-10-01T04:00:00.000Z,1550149,Rail (Blue)
2016-10-01T04:00:00.000Z,4651161,Rail (Orange)
2016-10-01T04:00:00.000Z,69678,Ferry (Boat-F1)
2016-11-01T04:00:00.000Z,2760800,Commuter Rail
2016-11-01T04:00:00.000Z,7403080,Bus (Bus)
2016-11-01T04:00:00.000Z,683466,Bus (Silver Line)
2016-11-01T04:00:00.000Z,147798,The RIDE
2016-11-01T04:00:00.000Z,5413231,Rail (Red)
2016-11-01T04:00:00.000Z,3831723,Rail (Green)
2016-11-01T04:00:00.000Z,1486293,Rail (Blue)
2016-11-01T04:00:00.000Z,4497805,Rail (Orange)
2016-11-01T04:00:00.000Z,66818,Ferry (Boat-F1)
2016-12-01T05:00:00.000Z,2732358,Commuter Rail
2016-12-01T05:00:00.000Z,7119231,Bus (Bus)
2016-12-01T05:00:00.000Z,666184,Bus (Silver Line)
2016-12-01T05:00:00.000Z,145378,The RIDE
2016-12-01T05:00:00.000Z,4944886,Rail (Red)
2016-12-01T05:00:00.000Z,3497594,Rail (Green)
2016-12-01T05:00:00.000Z,1399861,Rail (Blue)
2016-12-01T05:00:00.000Z,4145175,Rail (Orange)
2016-12-01T05:00:00.000Z,58582,Ferry (Boat-F1)
2017-01-01T05:00:00.000Z,2530346,Commuter Rail
2017-01-01T05:00:00.000Z,6857420,Bus (Bus)
2017-01-01T05:00:00.000Z,668607,Bus (Silver Line)
2017-01-01T05:00:00.000Z,139868,The RIDE
2017-01-01T05:00:00.000Z,4935366,Rail (Red)
2017-01-01T05:00:00.000Z,3368738,Rail (Green)
2017-01-01T05:00:00.000Z,1333203,Rail (Blue)
2017-01-01T05:00:00.000Z,4153221,Rail (Orange)
2017-01-01T05:00:00.000Z,63397,Ferry (Boat-F1)
2017-02-01T05:00:00.000Z,2366827,Commuter Rail
2017-02-01T05:00:00.000Z,6320900,Bus (Bus)
2017-02-01T05:00:00.000Z,603358,Bus (Silver Line)
2017-02-01T05:00:00.000Z,122620,The RIDE
2017-02-01T05:00:00.000Z,4696803,Rail (Red)
2017-02-01T05:00:00.000Z,3335246,Rail (Green)
2017-02-01T05:00:00.000Z,1253564,Rail (Blue)
2017-02-01T05:00:00.000Z,3887141,Rail (Orange)
2017-02-01T05:00:00.000Z,48613,Ferry (Boat-F1)
2017-03-01T05:00:00.000Z,2742436,Commuter Rail
2017-03-01T05:00:00.000Z,7823065,Bus (Bus)
2017-03-01T05:00:00.000Z,770216,Bus (Silver Line)
2017-03-01T05:00:00.000Z,157978,The RIDE
2017-03-01T05:00:00.000Z,5750523,Rail (Red)
2017-03-01T05:00:00.000Z,4010221,Rail (Green)
2017-03-01T05:00:00.000Z,1542035,Rail (Blue)
2017-03-01T05:00:00.000Z,4735889,Rail (Orange)
2017-03-01T05:00:00.000Z,66563,Ferry (Boat-F1)
2017-04-01T04:00:00.000Z,2438211,Commuter Rail
2017-04-01T04:00:00.000Z,6911721,Bus (Bus)
2017-04-01T04:00:00.000Z,681787,Bus (Silver Line)
2017-04-01T04:00:00.000Z,141060,The RIDE
2017-04-01T04:00:00.000Z,5273279,Rail (Red)
2017-04-01T04:00:00.000Z,3806254,Rail (Green)
2017-04-01T04:00:00.000Z,1457503,Rail (Blue)
2017-04-01T04:00:00.000Z,4311548,Rail (Orange)
2017-04-01T04:00:00.000Z,61364,Ferry (Boat-F1)
2017-05-01T04:00:00.000Z,2674877,Commuter Rail
2017-05-01T04:00:00.000Z,7945267,Bus (Bus)
2017-05-01T04:00:00.000Z,777613,Bus (Silver Line)
2017-05-01T04:00:00.000Z,154184,The RIDE
2017-05-01T04:00:00.000Z,5760641,Rail (Red)
2017-05-01T04:00:00.000Z,3855004,Rail (Green)
2017-05-01T04:00:00.000Z,1597468,Rail (Blue)
2017-05-01T04:00:00.000Z,4698525,Rail (Orange)
2017-05-01T04:00:00.000Z,82776,Ferry (Boat-F1)
2017-06-01T04:00:00.000Z,2779103,Commuter Rail
2017-06-01T04:00:00.000Z,7767120,Bus (Bus)
2017-06-01T04:00:00.000Z,766040,Bus (Silver Line)
2017-06-01T04:00:00.000Z,148220,The RIDE
2017-06-01T04:00:00.000Z,5773775,Rail (Red)
2017-06-01T04:00:00.000Z,3958035,Rail (Green)
2017-06-01T04:00:00.000Z,1685819,Rail (Blue)
2017-06-01T04:00:00.000Z,4714243,Rail (Orange)
2017-06-01T04:00:00.000Z,47836,Ferry (Boat-F1)
2017-07-01T04:00:00.000Z,2698676,Commuter Rail
2017-07-01T04:00:00.000Z,6928956,Bus (Bus)
2017-07-01T04:00:00.000Z,760559,Bus (Silver Line)
2017-07-01T04:00:00.000Z,128361,The RIDE
2017-07-01T04:00:00.000Z,5169112,Rail (Red)
2017-07-01T04:00:00.000Z,3444648,Rail (Green)
2017-07-01T04:00:00.000Z,1513659,Rail (Blue)
2017-07-01T04:00:00.000Z,4101199,Rail (Orange)
2017-07-01T04:00:00.000Z,70720,Ferry (Boat-F1)
2017-08-01T04:00:00.000Z,2867065,Commuter Rail
2017-08-01T04:00:00.000Z,7518350,Bus (Bus)
2017-08-01T04:00:00.000Z,788707,Bus (Silver Line)
2017-08-01T04:00:00.000Z,149390,The RIDE
2017-08-01T04:00:00.000Z,5786163,Rail (Red)
2017-08-01T04:00:00.000Z,3781642,Rail (Green)
2017-08-01T04:00:00.000Z,1717782,Rail (Blue)
2017-08-01T04:00:00.000Z,4624184,Rail (Orange)
2017-08-01T04:00:00.000Z,82468,Ferry (Boat-F1)
2017-09-01T04:00:00.000Z,2526284,Commuter Rail
2017-09-01T04:00:00.000Z,7400409,Bus (Bus)
2017-09-01T04:00:00.000Z,663795,Bus (Silver Line)
2017-09-01T04:00:00.000Z,132680,The RIDE
2017-09-01T04:00:00.000Z,5409746,Rail (Red)
2017-09-01T04:00:00.000Z,3789136,Rail (Green)
2017-09-01T04:00:00.000Z,1555249,Rail (Blue)
2017-09-01T04:00:00.000Z,4447505,Rail (Orange)
2017-09-01T04:00:00.000Z,69395,Ferry (Boat-F1)
2017-10-01T04:00:00.000Z,2756480,Commuter Rail
2017-10-01T04:00:00.000Z,8050056,Bus (Bus)
2017-10-01T04:00:00.000Z,747702,Bus (Silver Line)
2017-10-01T04:00:00.000Z,145884,The RIDE
2017-10-01T04:00:00.000Z,5898601,Rail (Red)
2017-10-01T04:00:00.000Z,3976259,Rail (Green)
2017-10-01T04:00:00.000Z,1686439,Rail (Blue)
2017-10-01T04:00:00.000Z,4872726,Rail (Orange)
2017-10-01T04:00:00.000Z,75904,Ferry (Boat-F1)
2017-11-01T04:00:00.000Z,2593976,Commuter Rail
2017-11-01T04:00:00.000Z,7376707,Bus (Bus)
2017-11-01T04:00:00.000Z,689488,Bus (Silver Line)
2017-11-01T04:00:00.000Z,138249,The RIDE
2017-11-01T04:00:00.000Z,5390729,Rail (Red)
2017-11-01T04:00:00.000Z,3668262,Rail (Green)
2017-11-01T04:00:00.000Z,1522572,Rail (Blue)
2017-11-01T04:00:00.000Z,4450208,Rail (Orange)
2017-11-01T04:00:00.000Z,67869,Ferry (Boat-F1)
2017-12-01T05:00:00.000Z,2411351,Commuter Rail
2017-12-01T05:00:00.000Z,6426027,Bus (Bus)
2017-12-01T05:00:00.000Z,612362,Bus (Silver Line)
2017-12-01T05:00:00.000Z,126210,The RIDE
2017-12-01T05:00:00.000Z,4548600,Rail (Red)
2017-12-01T05:00:00.000Z,3102458,Rail (Green)
2017-12-01T05:00:00.000Z,1331912,Rail (Blue)
2017-12-01T05:00:00.000Z,3832255,Rail (Orange)
2017-12-01T05:00:00.000Z,55481,Ferry (Boat-F1)
2018-01-01T05:00:00.000Z,2490280,Commuter Rail
2018-01-01T05:00:00.000Z,6840789,Bus (Bus)
2018-01-01T05:00:00.000Z,635182,Bus (Silver Line)
2018-01-01T05:00:00.000Z,125370,The RIDE
2018-01-01T05:00:00.000Z,4696090,Rail (Red)
2018-01-01T05:00:00.000Z,3141136,Rail (Green)
2018-01-01T05:00:00.000Z,1323204,Rail (Blue)
2018-01-01T05:00:00.000Z,3987313,Rail (Orange)
2018-01-01T05:00:00.000Z,37209,Ferry (Boat-F1)
2018-02-01T05:00:00.000Z,2289469,Commuter Rail
2018-02-01T05:00:00.000Z,6579570,Bus (Bus)
2018-02-01T05:00:00.000Z,598648,Bus (Silver Line)
2018-02-01T05:00:00.000Z,124694,The RIDE
2018-02-01T05:00:00.000Z,4613903,Rail (Red)
2018-02-01T05:00:00.000Z,3194840,Rail (Green)
2018-02-01T05:00:00.000Z,1321300,Rail (Blue)
2018-02-01T05:00:00.000Z,3938019,Rail (Orange)
2018-02-01T05:00:00.000Z,57076,Ferry (Boat-F1)
2018-03-01T05:00:00.000Z,2556696,Commuter Rail
2018-03-01T05:00:00.000Z,7162827,Bus (Bus)
2018-03-01T05:00:00.000Z,688735,Bus (Silver Line)
2018-03-01T05:00:00.000Z,128248,The RIDE
2018-03-01T05:00:00.000Z,5013455,Rail (Red)
2018-03-01T05:00:00.000Z,3400249,Rail (Green)
2018-03-01T05:00:00.000Z,1439092,Rail (Blue)
2018-03-01T05:00:00.000Z,4220321,Rail (Orange)
2018-03-01T05:00:00.000Z,58898,Ferry (Boat-F1)
2018-04-01T04:00:00.000Z,2530649,Commuter Rail
2018-04-01T04:00:00.000Z,7209478,Bus (Bus)
2018-04-01T04:00:00.000Z,745155,Bus (Silver Line)
2018-04-01T04:00:00.000Z,138743,The RIDE
2018-04-01T04:00:00.000Z,5315936,Rail (Red)
2018-04-01T04:00:00.000Z,3715423,Rail (Green)
2018-04-01T04:00:00.000Z,1548228,Rail (Blue)
2018-04-01T04:00:00.000Z,4463067,Rail (Orange)
2018-04-01T04:00:00.000Z,63282,Ferry (Boat-F1)
2018-05-01T04:00:00.000Z,2682524,Commuter Rail
2018-05-01T04:00:00.000Z,7862668,Bus (Bus)
2018-05-01T04:00:00.000Z,817296,Bus (Silver Line)
2018-05-01T04:00:00.000Z,146907,The RIDE
2018-05-01T04:00:00.000Z,5654937,Rail (Red)
2018-05-01T04:00:00.000Z,3744898,Rail (Green)
2018-05-01T04:00:00.000Z,1696348,Rail (Blue)
2018-05-01T04:00:00.000Z,4722969,Rail (Orange)
2018-05-01T04:00:00.000Z,75002,Ferry (Boat-F1)
2018-06-01T04:00:00.000Z,2581136,Commuter Rail
2018-06-01T04:00:00.000Z,7274607,Bus (Bus)
2018-06-01T04:00:00.000Z,784891,Bus (Silver Line)
2018-06-01T04:00:00.000Z,136637,The RIDE
2018-06-01T04:00:00.000Z,5360458,Rail (Red)
2018-06-01T04:00:00.000Z,3553979,Rail (Green)
2018-06-01T04:00:00.000Z,1642111,Rail (Blue)
2018-06-01T04:00:00.000Z,4476711,Rail (Orange)
2018-06-01T04:00:00.000Z,76176,Ferry (Boat-F1)
2018-07-01T04:00:00.000Z,2540486,Commuter Rail
2018-07-01T04:00:00.000Z,7057588,Bus (Bus)
2018-07-01T04:00:00.000Z,789279,Bus (Silver Line)
2018-07-01T04:00:00.000Z,129523,The RIDE
2018-07-01T04:00:00.000Z,5111092,Rail (Red)
2018-07-01T04:00:00.000Z,3594274,Rail (Green)
2018-07-01T04:00:00.000Z,1587867,Rail (Blue)
2018-07-01T04:00:00.000Z,4202646,Rail (Orange)
2018-07-01T04:00:00.000Z,78419,Ferry (Boat-F1)
2018-08-01T04:00:00.000Z,2781155,Commuter Rail
2018-08-01T04:00:00.000Z,7694137,Bus (Bus)
2018-08-01T04:00:00.000Z,859521,Bus (Silver Line)
2018-08-01T04:00:00.000Z,140750,The RIDE
2018-08-01T04:00:00.000Z,5411159,Rail (Red)
2018-08-01T04:00:00.000Z,3706947,Rail (Green)
2018-08-01T04:00:00.000Z,1655644,Rail (Blue)
2018-08-01T04:00:00.000Z,4450677,Rail (Orange)
2018-08-01T04:00:00.000Z,83211,Ferry (Boat-F1)
2018-09-01T04:00:00.000Z,2296199,Commuter Rail
2018-09-01T04:00:00.000Z,7063597,Bus (Bus)
2018-09-01T04:00:00.000Z,703816,Bus (Silver Line)
2018-09-01T04:00:00.000Z,119784,The RIDE
2018-09-01T04:00:00.000Z,4859060,Rail (Red)
2018-09-01T04:00:00.000Z,3561584,Rail (Green)
2018-09-01T04:00:00.000Z,1433946,Rail (Blue)
2018-09-01T04:00:00.000Z,4043458,Rail (Orange)
2018-09-01T04:00:00.000Z,68746,Ferry (Boat-F1)
2018-10-01T04:00:00.000Z,2800712,Commuter Rail
2018-10-01T04:00:00.000Z,8555318,Bus (Bus)
2018-10-01T04:00:00.000Z,879936,Bus (Silver Line)
2018-10-01T04:00:00.000Z,144156,The RIDE
2018-10-01T04:00:00.000Z,5955310,Rail (Red)
2018-10-01T04:00:00.000Z,4349667,Rail (Green)
2018-10-01T04:00:00.000Z,1748476,Rail (Blue)
2018-10-01T04:00:00.000Z,4980608,Rail (Orange)
2018-10-01T04:00:00.000Z,82206,Ferry (Boat-F1)
2018-11-01T04:00:00.000Z,2547322,Commuter Rail
2018-11-01T04:00:00.000Z,7395071,Bus (Bus)
2018-11-01T04:00:00.000Z,798509,Bus (Silver Line)
2018-11-01T04:00:00.000Z,126859,The RIDE
2018-11-01T04:00:00.000Z,5079375,Rail (Red)
2018-11-01T04:00:00.000Z,3616694,Rail (Green)
2018-11-01T04:00:00.000Z,1481110,Rail (Blue)
2018-11-01T04:00:00.000Z,4269986,Rail (Orange)
2018-11-01T04:00:00.000Z,68740,Ferry (Boat-F1)
2018-12-01T05:00:00.000Z,2424940,Commuter Rail
2018-12-01T05:00:00.000Z,6422324,Bus (Bus)
2018-12-01T05:00:00.000Z,659334,Bus (Silver Line)
2018-12-01T05:00:00.000Z,118195,The RIDE
2018-12-01T05:00:00.000Z,4270301,Rail (Red)
2018-12-01T05:00:00.000Z,3042631,Rail (Green)
2018-12-01T05:00:00.000Z,1291519,Rail (Blue)
2018-12-01T05:00:00.000Z,3630254,Rail (Orange)
2018-12-01T05:00:00.000Z,56588,Ferry (Boat-F1)
2019-01-01T05:00:00.000Z,2540240,Commuter Rail
2019-01-01T05:00:00.000Z,7103166,Bus (Bus)
2019-01-01T05:00:00.000Z,728626,Bus (Silver Line)
2019-01-01T05:00:00.000Z,127133,The RIDE
2019-01-01T05:00:00.000Z,4775951,Rail (Red)
2019-01-01T05:00:00.000Z,3322102,Rail (Green)
2019-01-01T05:00:00.000Z,1390803,Rail (Blue)
2019-01-01T05:00:00.000Z,4049901,Rail (Orange)
2019-01-01T05:00:00.000Z,69315,Ferry (Boat-F1)
2019-02-01T05:00:00.000Z,2315272,Commuter Rail
2019-02-01T05:00:00.000Z,6542399,Bus (Bus)
2019-02-01T05:00:00.000Z,655079,Bus (Silver Line)
2019-02-01T05:00:00.000Z,113706,The RIDE
2019-02-01T05:00:00.000Z,4570488,Rail (Red)
2019-02-01T05:00:00.000Z,3204597,Rail (Green)
2019-02-01T05:00:00.000Z,1291124,Rail (Blue)
2019-02-01T05:00:00.000Z,3779937,Rail (Orange)
2019-02-01T05:00:00.000Z,61773,Ferry (Boat-F1)
2019-03-01T05:00:00.000Z,2552939,Commuter Rail
2019-03-01T05:00:00.000Z,7357430,Bus (Bus)
2019-03-01T05:00:00.000Z,786680,Bus (Silver Line)
2019-03-01T05:00:00.000Z,127203,The RIDE
2019-03-01T05:00:00.000Z,5018393,Rail (Red)
2019-03-01T05:00:00.000Z,3479327,Rail (Green)
2019-03-01T05:00:00.000Z,1435380,Rail (Blue)
2019-03-01T05:00:00.000Z,4182580,Rail (Orange)
2019-03-01T05:00:00.000Z,66093,Ferry (Boat-F1)
2019-04-01T04:00:00.000Z,2651110,Commuter Rail
2019-04-01T04:00:00.000Z,7689901,Bus (Bus)
2019-04-01T04:00:00.000Z,823061,Bus (Silver Line)
2019-04-01T04:00:00.000Z,133432,The RIDE
2019-04-01T04:00:00.000Z,5391799,Rail (Red)
2019-04-01T04:00:00.000Z,3819945,Rail (Green)
2019-04-01T04:00:00.000Z,1599512,Rail (Blue)
2019-04-01T04:00:00.000Z,4527379,Rail (Orange)
2019-04-01T04:00:00.000Z,71300,Ferry (Boat-F1)
2019-05-01T04:00:00.000Z,2536088,Commuter Rail
2019-05-01T04:00:00.000Z,7884809,Bus (Bus)
2019-05-01T04:00:00.000Z,850391,Bus (Silver Line)
2019-05-01T04:00:00.000Z,136602,The RIDE
2019-05-01T04:00:00.000Z,5422544,Rail (Red)
2019-05-01T04:00:00.000Z,3624765,Rail (Green)
2019-05-01T04:00:00.000Z,1631294,Rail (Blue)
2019-05-01T04:00:00.000Z,4562221,Rail (Orange)
2019-05-01T04:00:00.000Z,75512,Ferry (Boat-F1)
2019-06-01T04:00:00.000Z,2550890,Commuter Rail
2019-06-01T04:00:00.000Z,6970275,Bus (Bus)
2019-06-01T04:00:00.000Z,765614,Bus (Silver Line)
2019-06-01T04:00:00.000Z,121447,The RIDE
2019-06-01T04:00:00.000Z,4757240,Rail (Red)
2019-06-01T04:00:00.000Z,3305499,Rail (Green)
2019-06-01T04:00:00.000Z,1541358,Rail (Blue)
2019-06-01T04:00:00.000Z,4166742,Rail (Orange)
2019-06-01T04:00:00.000Z,82854,Ferry (Boat-F1)
2019-07-01T04:00:00.000Z,2620848,Commuter Rail
2019-07-01T04:00:00.000Z,7440844,Bus (Bus)
2019-07-01T04:00:00.000Z,825192,Bus (Silver Line)
2019-07-01T04:00:00.000Z,127159,The RIDE
2019-07-01T04:00:00.000Z,5021199,Rail (Red)
2019-07-01T04:00:00.000Z,3437565,Rail (Green)
2019-07-01T04:00:00.000Z,1651051,Rail (Blue)
2019-07-01T04:00:00.000Z,4352778,Rail (Orange)
2019-07-01T04:00:00.000Z,92145,Ferry (Boat-F1)
2019-08-01T04:00:00.000Z,2646170,Commuter Rail
2019-08-01T04:00:00.000Z,7338690,Bus (Bus)
2019-08-01T04:00:00.000Z,823813,Bus (Silver Line)
2019-08-01T04:00:00.000Z,126310,The RIDE
2019-08-01T04:00:00.000Z,4880100,Rail (Red)
2019-08-01T04:00:00.000Z,3232914,Rail (Green)
2019-08-01T04:00:00.000Z,1616173,Rail (Blue)
2019-08-01T04:00:00.000Z,4239128,Rail (Orange)
2019-08-01T04:00:00.000Z,89914,Ferry (Boat-F1)
2019-09-01T04:00:00.000Z,2416473,Commuter Rail
2019-09-01T04:00:00.000Z,7479428,Bus (Bus)
2019-09-01T04:00:00.000Z,738886,Bus (Silver Line)
2019-09-01T04:00:00.000Z,121197,The RIDE
2019-09-01T04:00:00.000Z,4915753,Rail (Red)
2019-09-01T04:00:00.000Z,3179038,Rail (Green)
2019-09-01T04:00:00.000Z,1528456,Rail (Blue)
2019-09-01T04:00:00.000Z,4311143,Rail (Orange)
2019-09-01T04:00:00.000Z,83662,Ferry (Boat-F1)
2019-10-01T00:00:00.000Z,2792281,Commuter Rail
2019-10-01T00:00:00.000Z,8357878,Bus (Bus)
2019-10-01T00:00:00.000Z,838063,Bus (Silver Line)
2019-10-01T00:00:00.000Z,138048,The RIDE
2019-10-01T00:00:00.000Z,5620037,Rail (Red)
2019-10-01T00:00:00.000Z,3601913,Rail (Green)
2019-10-01T00:00:00.000Z,1588641,Rail (Blue)
2019-10-01T00:00:00.000Z,4775264,Rail (Orange)
2019-10-01T00:00:00.000Z,87597,Ferry (Boat-F1)